histosketches-k11-m1-c10-s256/Airways.18.sketch,histosketches-k11-m1-c10-s256/Oral.14.sketch,histosketches-k11-m1-c10-s256/Oral.18.sketch,histosketches-k11-m1-c10-s256/Oral.19.sketch,histosketches-k11-m1-c10-s256/Skin.17.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.12.sketch,histosketches-k11-m1-c10-s256/Airways.14.sketch,histosketches-k11-m1-c10-s256/Airways.15.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.18.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.15.sketch,histosketches-k11-m1-c10-s256/Oral.17.sketch,histosketches-k11-m1-c10-s256/Airways.11.sketch,histosketches-k11-m1-c10-s256/Airways.13.sketch,histosketches-k11-m1-c10-s256/Skin.18.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.13.sketch,histosketches-k11-m1-c10-s256/Oral.15.sketch,histosketches-k11-m1-c10-s256/Skin.13.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.11.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.12.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.13.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.17.sketch,histosketches-k11-m1-c10-s256/Oral.11.sketch,histosketches-k11-m1-c10-s256/Skin.15.sketch,histosketches-k11-m1-c10-s256/Airways.12.sketch,histosketches-k11-m1-c10-s256/Airways.17.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.17.sketch,histosketches-k11-m1-c10-s256/Skin.19.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.14.sketch,histosketches-k11-m1-c10-s256/Oral.13.sketch,histosketches-k11-m1-c10-s256/Oral.20.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.18.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.20.sketch,histosketches-k11-m1-c10-s256/Skin.20.sketch,histosketches-k11-m1-c10-s256/Skin.14.sketch,histosketches-k11-m1-c10-s256/Skin.16.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.14.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.16.sketch,histosketches-k11-m1-c10-s256/Gastrointestinal_tract.19.sketch,histosketches-k11-m1-c10-s256/Oral.12.sketch,histosketches-k11-m1-c10-s256/Skin.11.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.15.sketch,histosketches-k11-m1-c10-s256/Airways.16.sketch,histosketches-k11-m1-c10-s256/Airways.20.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.16.sketch,histosketches-k11-m1-c10-s256/Skin.12.sketch,histosketches-k11-m1-c10-s256/Urogenital_tract.11.sketch,histosketches-k11-m1-c10-s256/Airways.19.sketch,histosketches-k11-m1-c10-s256/Oral.16.sketch
43.53,50.19,60.99,58.67,37.55,12.98,39.87,36.70,34.82,41.44,100.00,39.13,30.00,52.35,39.81,56.38,34.39,28.98,30.99,41.24,31.65,56.22,25.65,40.53,41.82,34.52,44.84,32.50,43.05,54.86,35.86,39.77,41.63,33.10,37.59,39.04,30.35,29.10,60.59,40.47,33.56,39.80,38.66,32.60,35.89,39.58,38.08,58.93
47.59,38.33,38.94,30.23,38.74,17.72,49.48,69.31,39.64,39.32,39.13,100.00,49.42,43.32,39.09,30.50,24.52,39.35,40.08,43.14,38.13,28.71,17.59,56.34,51.89,43.18,46.99,34.27,36.91,27.54,41.05,28.84,34.69,24.74,26.58,31.77,32.21,39.64,38.00,32.55,44.34,60.17,56.90,33.53,42.84,37.87,56.00,36.47
46.48,27.97,27.60,22.81,30.85,13.60,35.99,49.07,28.81,30.26,30.00,49.42,100.00,33.06,28.71,25.45,20.66,28.85,28.79,31.13,28.39,24.23,15.81,46.95,50.11,36.19,36.70,29.30,24.38,20.90,30.35,22.50,28.16,24.05,23.49,26.10,23.53,29.99,27.74,26.99,37.00,43.59,64.89,27.21,27.24,29.75,47.57,28.93
50.76,50.63,46.05,38.32,44.41,11.92,43.06,44.70,42.71,45.36,52.35,43.32,33.06,100.00,45.02,46.65,35.15,30.18,33.60,42.60,32.66,41.21,27.38,47.40,53.28,37.97,55.62,36.18,40.15,40.24,37.13,37.29,49.18,38.08,38.13,38.05,30.49,32.57,44.70,45.60,36.60,48.12,43.26,31.89,45.29,43.53,45.11,49.84
40.62,36.71,40.47,32.85,39.91,10.99,35.20,39.84,34.89,42.05,39.81,39.09,28.71,45.02,100.00,36.75,29.40,31.95,33.97,41.20,33.39,33.75,22.49,43.06,43.21,38.44,45.06,37.01,31.88,31.73,36.69,32.66,37.72,29.23,30.23,35.76,31.42,32.82,38.91,37.73,38.43,45.17,37.38,30.86,36.77,52.48,43.15,39.24
44.48,35.98,59.54,58.02,35.93,7.19,40.66,30.31,33.36,36.25,56.38,30.50,25.45,46.65,36.75,100.00,39.55,19.41,22.07,33.63,22.03,48.86,31.51,36.35,43.03,28.43,42.67,37.04,37.14,59.24,24.09,36.26,42.98,36.90,42.55,38.40,22.46,20.71,55.58,39.74,24.30,35.02,34.58,29.60,30.89,42.81,30.70,56.93
41.00,23.85,35.44,35.65,41.10,5.68,35.01,23.98,25.83,32.64,34.39,24.52,20.66,35.15,29.40,39.55,100.00,16.64,18.85,28.10,17.05,33.64,58.31,25.73,36.09,19.17,44.86,27.67,27.13,37.84,22.55,36.41,51.11,59.94,64.37,35.19,19.73,16.52,32.74,52.99,16.80,28.76,27.38,19.69,34.35,33.53,24.36,37.11
26.86,35.34,23.99,20.12,34.41,26.35,28.81,35.89,32.61,32.39,28.98,39.35,28.85,30.18,31.95,19.41,16.64,100.00,61.09,46.21,60.63,23.50,13.38,35.15,26.91,34.76,32.06,19.07,27.28,18.85,48.17,29.34,25.06,18.38,19.37,25.99,55.64,58.08,25.01,26.28,43.89,40.25,31.75,23.49,30.55,22.40,40.54,26.38
28.24,36.20,26.67,20.81,35.67,27.47,28.32,36.86,33.99,37.24,30.99,40.08,28.79,33.60,33.97,22.07,18.85,61.09,100.00,50.47,62.99,26.97,13.75,38.19,29.33,36.81,33.51,19.71,30.04,20.53,48.32,31.15,27.38,18.75,21.38,30.22,56.40,58.79,27.21,27.76,42.04,41.37,32.12,24.02,31.21,23.57,39.84,30.15
39.55,40.53,36.18,30.45,43.20,16.32,39.49,40.38,42.49,54.46,41.24,43.14,31.13,42.60,41.20,33.63,28.10,46.21,50.47,100.00,48.67,35.64,20.17,43.22,40.84,35.65,44.26,26.99,37.41,29.23,52.06,44.03,37.49,28.52,29.79,47.28,47.37,48.88,36.17,37.11,36.68,49.17,39.93,29.49,36.99,36.14,44.12,43.51
26.86,37.55,26.30,23.29,33.49,28.90,28.53,36.69,33.27,34.41,31.65,38.13,28.39,32.66,33.39,22.03,17.05,60.63,62.99,48.67,100.00,25.45,14.12,37.50,27.63,37.27,31.20,19.40,28.11,20.55,47.41,28.86,25.69,18.66,19.36,26.53,57.42,59.30,27.17,24.90,45.43,40.43,31.25,25.05,29.66,24.80,40.05,28.81
35.97,41.16,53.94,51.15,31.88,10.88,32.03,27.24,31.37,41.06,56.22,28.71,24.23,41.21,33.75,48.86,33.64,23.50,26.97,35.64,25.45,100.00,25.74,34.30,36.81,24.49,36.48,29.05,37.62,50.23,31.50,42.04,36.45,31.31,35.99,42.06,26.07,24.58,52.38,36.36,25.66,32.37,30.47,24.94,31.31,34.86,28.61,54.97
33.32,15.96,26.85,26.21,35.04,5.05,30.08,18.64,20.83,24.35,25.65,17.59,15.81,27.38,22.49,31.51,58.31,13.38,13.75,20.17,14.12,25.74,100.00,19.08,28.07,15.26,35.42,20.23,20.47,28.09,16.79,29.07,42.32,60.09,58.07,28.50,15.90,13.63,25.51,46.60,13.50,21.89,20.81,14.89,28.96,24.13,19.83,28.47
50.20,40.04,42.42,32.15,42.51,17.16,46.36,55.74,41.53,38.40,40.53,56.34,46.95,47.40,43.06,36.35,25.73,35.15,38.19,43.22,37.50,34.30,19.08,100.00,53.65,48.60,50.44,36.54,34.10,29.87,40.33,29.05,38.83,28.22,28.62,33.11,31.69,37.23,40.51,37.76,46.20,60.36,58.35,35.97,38.96,38.95,59.80,41.02
67.10,34.41,41.74,33.89,44.86,10.19,45.66,52.82,41.00,45.54,41.82,51.89,50.11,53.28,43.21,43.03,36.09,26.91,29.33,40.84,27.63,36.81,28.07,53.65,100.00,34.14,58.52,40.46,35.18,35.25,35.91,33.56,47.47,38.44,39.71,40.97,27.04,29.84,40.30,42.24,33.85,54.00,61.48,32.20,41.82,43.36,51.55,47.16
34.63,35.63,31.77,27.55,33.58,22.37,33.59,44.95,31.74,32.32,34.52,43.18,36.19,37.97,38.44,28.43,19.17,34.76,36.81,35.65,37.27,24.49,15.26,48.60,34.14,100.00,35.47,39.69,30.88,22.59,34.64,23.37,29.25,20.79,20.28,25.50,33.76,36.80,30.38,28.69,56.85,43.77,40.13,39.73,31.88,32.77,43.71,31.63
62.12,34.28,43.08,36.26,54.32,12.61,50.32,44.31,38.39,45.52,44.84,46.99,36.70,55.62,45.06,42.67,44.86,32.06,33.51,44.26,31.20,36.48,35.42,50.44,58.52,35.47,100.00,36.89,35.19,36.08,38.02,39.43,57.98,48.01,50.23,40.17,30.50,31.37,42.37,56.16,35.02,56.63,51.33,28.97,49.93,42.81,51.51,45.37
39.00,26.13,41.16,32.72,31.16,7.91,34.44,36.62,31.56,37.53,32.50,34.27,29.30,36.18,37.01,37.04,27.67,19.07,19.71,26.99,19.40,29.05,20.23,36.54,40.46,39.69,36.89,100.00,30.17,32.94,25.03,27.02,33.98,27.01,26.88,30.63,18.72,19.91,34.69,31.97,33.01,36.94,36.39,40.64,27.69,51.68,32.03,34.60
33.83,39.78,45.92,33.47,30.83,12.39,36.10,35.78,32.55,38.51,43.05,36.91,24.38,40.15,31.88,37.14,27.13,27.28,30.04,37.41,28.11,37.62,20.47,34.10,35.18,30.88,35.19,30.17,100.00,33.22,32.54,33.64,30.04,25.25,26.33,34.63,26.58,29.11,49.85,29.34,31.94,32.54,29.59,29.61,43.77,33.31,34.19,42.98
35.60,34.49,58.86,65.30,29.15,7.85,32.58,26.28,29.58,34.15,54.86,27.54,20.90,40.24,31.73,59.24,37.84,18.85,20.53,29.23,20.55,50.23,28.09,29.87,35.25,22.59,36.08,32.94,33.22,100.00,25.38,35.50,37.37,33.67,38.01,37.34,19.76,19.91,51.31,33.23,20.69,28.97,29.16,25.00,26.64,37.85,25.57,49.29
33.38,37.82,30.93,25.27,36.39,18.02,35.66,42.72,39.92,50.83,35.86,41.05,30.35,37.13,36.69,24.09,22.55,48.17,48.32,52.06,47.41,31.50,16.79,40.33,35.91,34.64,38.02,25.03,32.54,25.38,100.00,35.45,31.37,22.05,23.27,39.55,41.80,48.05,31.80,30.32,37.28,44.07,34.75,26.60,33.62,29.98,42.72,34.77
34.61,30.61,38.46,32.61,35.30,10.71,32.29,25.78,34.67,50.72,39.77,28.84,22.50,37.29,32.66,36.26,36.41,29.34,31.15,44.03,28.86,42.04,29.07,29.05,33.56,23.37,39.43,27.02,33.64,35.50,35.45,100.00,39.76,33.97,37.80,53.91,32.38,29.02,38.11,38.23,22.84,32.10,27.82,22.10,33.53,33.36,29.03,45.91
50.04,32.40,38.25,37.45,53.86,9.51,40.15,34.75,32.71,40.68,41.63,34.69,28.16,49.18,37.72,42.98,51.11,25.06,27.38,37.49,25.69,36.45,42.32,38.83,47.47,29.25,57.98,33.98,30.04,37.37,31.37,39.76,100.00,52.82,55.95,40.21,27.20,24.80,39.01,60.96,28.56,41.03,39.16,27.84,41.53,35.31,39.76,45.46
44.88,22.30,33.53,31.89,44.13,6.92,38.17,26.90,25.79,30.68,33.10,24.74,24.05,38.08,29.23,36.90,59.94,18.38,18.75,28.52,18.66,31.31,60.09,28.22,38.44,20.79,48.01,27.01,25.25,33.67,22.05,33.97,52.82,100.00,65.30,34.30,20.50,17.04,32.00,55.51,18.95,29.81,31.42,21.11,37.33,31.35,28.59,36.03
45.16,23.62,38.70,38.17,43.54,7.37,40.51,27.69,29.60,34.43,37.59,26.58,23.49,38.13,30.23,42.55,64.37,19.37,21.38,29.79,19.36,35.99,58.07,28.62,39.71,20.28,50.23,26.88,26.33,38.01,23.27,37.80,55.95,65.30,100.00,39.08,21.02,18.78,35.29,56.49,18.10,30.74,31.10,21.15,36.94,32.41,28.21,40.80
40.39,28.12,41.47,35.20,37.76,8.72,35.97,31.10,38.02,56.24,39.04,31.77,26.10,38.05,35.76,38.40,35.19,25.99,30.22,47.28,26.53,42.06,28.50,33.11,40.97,25.50,40.17,30.63,34.63,37.34,39.55,53.91,40.21,34.30,39.08,100.00,27.65,29.46,38.60,38.71,23.04,35.13,32.50,25.36,36.25,37.92,30.97,48.76
25.83,35.02,23.89,20.31,36.75,23.18,26.70,29.19,32.11,34.56,30.35,32.21,23.53,30.49,31.42,22.46,19.73,55.64,56.40,47.37,57.42,26.07,15.90,31.69,27.04,33.76,30.50,18.72,26.58,19.76,41.80,32.38,27.20,20.50,21.02,27.65,100.00,53.94,24.96,27.96,37.65,36.73,28.53,21.98,30.40,22.37,35.08,27.17
26.33,34.95,25.55,19.34,33.86,25.46,28.86,38.87,35.37,35.30,29.10,39.64,29.99,32.57,32.82,20.71,16.52,58.08,58.79,48.88,59.30,24.58,13.63,37.23,29.84,36.80,31.37,19.91,29.11,19.91,48.05,29.02,24.80,17.04,18.78,29.46,53.94,100.00,25.69,25.81,43.50,40.10,34.21,26.02,32.24,23.97,39.36,29.19
42.36,44.88,65.29,57.89,33.58,9.94,39.00,36.51,35.89,40.80,60.59,38.00,27.74,44.70,38.91,55.58,32.74,25.01,27.21,36.17,27.17,52.38,25.51,40.51,40.30,30.38,42.37,34.69,49.85,51.31,31.80,38.11,39.01,32.00,35.29,38.60,24.96,25.69,100.00,37.17,29.74,37.88,34.80,29.45,39.45,41.23,33.86,56.43
47.87,30.35,37.39,33.96,61.19,10.83,42.60,33.59,32.00,37.15,40.47,32.55,26.99,45.60,37.73,39.74,52.99,26.28,27.76,37.11,24.90,36.36,46.60,37.76,42.24,28.69,56.16,31.97,29.34,33.23,30.32,38.23,60.96,55.51,56.49,38.71,27.96,25.81,37.17,100.00,26.25,36.37,35.83,26.29,43.35,35.19,36.40,40.55
34.70,38.94,28.53,24.41,31.36,28.34,33.16,46.70,31.09,32.19,33.56,44.34,37.00,36.60,38.43,24.30,16.80,43.89,42.04,36.68,45.43,25.66,13.50,46.20,33.85,56.85,35.02,33.01,31.94,20.69,37.28,22.84,28.56,18.95,18.10,23.04,37.65,43.50,29.74,26.25,100.00,46.90,40.46,35.31,31.23,31.14,46.91,28.93
48.90,38.77,38.67,31.29,48.67,16.91,45.21,54.36,45.29,42.50,39.80,60.17,43.59,48.12,45.17,35.02,28.76,40.25,41.37,49.17,40.43,32.37,21.89,60.36,54.00,43.77,56.63,36.94,32.54,28.97,44.07,32.10,41.03,29.81,30.74,35.13,36.73,40.10,37.88,36.37,46.90,100.00,53.40,32.40,42.03,40.72,62.42,38.50
58.54,34.71,36.50,30.01,39.94,13.22,44.84,57.33,37.29,38.20,38.66,56.90,64.89,43.26,37.38,34.58,27.38,31.75,32.12,39.93,31.25,30.47,20.81,58.35,61.48,40.13,51.33,36.39,29.59,29.16,34.75,27.82,39.16,31.42,31.10,32.50,28.53,34.21,34.80,35.83,40.46,53.40,100.00,31.98,36.86,36.23,54.57,38.80
33.04,29.12,32.49,28.14,27.29,11.73,29.45,34.07,27.99,29.50,32.60,33.53,27.21,31.89,30.86,29.60,19.69,23.49,24.02,29.49,25.05,24.94,14.89,35.97,32.20,39.73,28.97,40.64,29.61,25.00,26.60,22.10,27.84,21.11,21.15,25.36,21.98,26.02,29.45,26.29,35.31,32.40,31.98,100.00,24.68,36.72,32.53,31.28
40.20,33.81,38.68,28.17,44.41,13.01,40.61,42.45,37.25,37.41,35.89,42.84,27.24,45.29,36.77,30.89,34.35,30.55,31.21,36.99,29.66,31.31,28.96,38.96,41.82,31.88,49.93,27.69,43.77,26.64,33.62,33.53,41.53,37.33,36.94,36.25,30.40,32.24,39.45,43.35,31.23,42.03,36.86,24.68,100.00,33.61,43.01,38.83
41.44,31.51,44.80,38.91,34.65,7.65,37.55,38.44,36.10,42.40,39.58,37.87,29.75,43.53,52.48,42.81,33.53,22.40,23.57,36.14,24.80,34.86,24.13,38.95,43.36,32.77,42.81,51.68,33.31,37.85,29.98,33.36,35.31,31.35,32.41,37.92,22.37,23.97,41.23,35.19,31.14,40.72,36.23,36.72,33.61,100.00,36.36,38.58
48.11,39.26,35.04,28.54,47.31,19.51,43.56,57.09,41.38,38.94,38.08,56.00,47.57,45.11,43.15,30.70,24.36,40.54,39.84,44.12,40.05,28.61,19.83,59.80,51.55,43.71,51.51,32.03,34.19,25.57,42.72,29.03,39.76,28.59,28.21,30.97,35.08,39.36,33.86,36.40,46.91,62.42,54.57,32.53,43.01,36.36,100.00,35.22
44.72,44.22,55.33,49.83,37.35,10.45,39.72,35.96,38.74,48.63,58.93,36.47,28.93,49.84,39.24,56.93,37.11,26.38,30.15,43.51,28.81,54.97,28.47,41.02,47.16,31.63,45.37,34.60,42.98,49.29,34.77,45.91,45.46,36.03,40.80,48.76,27.17,29.19,56.43,40.55,28.93,38.50,38.80,31.28,38.83,38.58,35.22,100.00
