Baseline/SAMN06172444.sketch,Baseline/SAMN06172497.sketch,HPLC/SAMN06172421.sketch,HPLC/SAMN06172516.sketch,Baseline/SAMN06172402.sketch,Baseline/SAMN06172442.sketch,Baseline/SAMN06172459.sketch,HPLC/SAMN06172409.sketch,HPLC/SAMN06172419.sketch,HPLC/SAMN06172454.sketch,HPLC/SAMN06172458.sketch,LPHC/SAMN06172447.sketch,Baseline/SAMN06172436.sketch,Baseline/SAMN06172450.sketch,LPHC/SAMN06172508.sketch,Baseline/SAMN06172463.sketch,HPLC/SAMN06172413.sketch,LPHC/SAMN06172512.sketch,LPHC/SAMN06172401.sketch,Baseline/SAMN06172400.sketch,Baseline/SAMN06172408.sketch,Baseline/SAMN06172438.sketch,Baseline/SAMN06172440.sketch,Baseline/SAMN06172457.sketch,Baseline/SAMN06172465.sketch,HPLC/SAMN06172435.sketch,LPHC/SAMN06172433.sketch,Baseline/SAMN06172420.sketch,Baseline/SAMN06172485.sketch,Baseline/SAMN06172507.sketch,Baseline/SAMN06172517.sketch,HPLC/SAMN06172498.sketch,LPHC/SAMN06172429.sketch,Baseline/SAMN06172412.sketch,Baseline/SAMN06172422.sketch,Baseline/SAMN06172493.sketch,Baseline/SAMN06172521.sketch,Baseline/SAMN06172446.sketch,HPLC/SAMN06172449.sketch,HPLC/SAMN06172466.sketch,LPHC/SAMN06172427.sketch,LPHC/SAMN06172488.sketch,Baseline/SAMN06172481.sketch,HPLC/SAMN06172504.sketch,Baseline/SAMN06172473.sketch,Baseline/SAMN06172477.sketch,Baseline/SAMN06172509.sketch,HPLC/SAMN06172482.sketch,LPHC/SAMN06172518.sketch,Baseline/SAMN06172513.sketch,LPHC/SAMN06172460.sketch,LPHC/SAMN06172506.sketch,Baseline/SAMEA103957794.sketch,Baseline/SAMN06172434.sketch,Baseline/SAMN06172471.sketch,Baseline/SAMN06172475.sketch,HPLC/SAMEA103957796.sketch,HPLC/SAMN06172403.sketch,HPLC/SAMN06172441.sketch,Baseline/SAMN06172452.sketch,LPHC/SAMN06172425.sketch,LPHC/SAMN06172451.sketch,LPHC/SAMN06172490.sketch,Baseline/SAMN06172479.sketch,Baseline/SAMN06172511.sketch,LPHC/SAMN06172415.sketch,Baseline/SAMEA103957795.sketch,Baseline/SAMN06172432.sketch,Baseline/SAMN06172499.sketch,Baseline/SAMN06172515.sketch,HPLC/SAMEA103957793.sketch,HPLC/SAMN06172510.sketch,LPHC/SAMN06172472.sketch,Baseline/SAMN06172406.sketch,Baseline/SAMN06172448.sketch,Baseline/SAMN06172467.sketch,LPHC/SAMN06172445.sketch,Baseline/SAMN06172501.sketch,HPLC/SAMN06172468.sketch,HPLC/SAMN06172470.sketch,Baseline/SAMN06172414.sketch,HPLC/SAMN06172405.sketch,HPLC/SAMN06172431.sketch,LPHC/SAMN06172522.sketch,Baseline/SAMN06172416.sketch,HPLC/SAMN06172443.sketch,HPLC/SAMN06172486.sketch,HPLC/SAMN06172502.sketch,LPHC/SAMN06172456.sketch,LPHC/SAMN06172474.sketch,LPHC/SAMN06172524.sketch,Baseline/SAMN06172519.sketch,LPHC/SAMN06172407.sketch,LPHC/SAMN06172439.sketch,LPHC/SAMN06172520.sketch,Baseline/SAMN06172426.sketch,HPLC/SAMN06172437.sketch,Baseline/SAMN06172418.sketch,Baseline/SAMN06172469.sketch,Baseline/SAMN06172495.sketch,HPLC/SAMN06172480.sketch,LPHC/SAMN06172464.sketch,LPHC/SAMN06172494.sketch,Baseline/SAMN06172430.sketch,Baseline/SAMN06172483.sketch,Baseline/SAMN06172410.sketch,HPLC/SAMN06172476.sketch,HPLC/SAMN06172492.sketch,HPLC/SAMN06172514.sketch,LPHC/SAMN06172478.sketch,Baseline/SAMN06172424.sketch,Baseline/SAMN06172455.sketch,Baseline/SAMN06172487.sketch,Baseline/SAMN06172491.sketch,HPLC/SAMN06172423.sketch,HPLC/SAMN06172484.sketch,HPLC/SAMN06172496.sketch,LPHC/SAMN06172462.sketch,Baseline/SAMN06172428.sketch,Baseline/SAMN06172461.sketch,Baseline/SAMN06172489.sketch,Baseline/SAMN06172505.sketch,Baseline/SAMN06172404.sketch,Baseline/SAMN06172503.sketch,Baseline/SAMN06172523.sketch,LPHC/SAMN06172417.sketch,LPHC/SAMN06172453.sketch,LPHC/SAMN06172500.sketch
36.33,38.09,31.45,31.84,38.67,38.28,38.09,35.55,33.59,33.98,100.00,36.13,36.52,37.89,33.01,34.96,35.35,31.05,34.38,36.91,36.91,32.62,35.55,37.30,38.28,34.57,33.40,36.72,38.28,34.18,35.94,31.05,36.33,38.87,36.33,37.70,35.94,38.67,34.57,32.03,33.79,39.06,37.89,36.52,37.70,34.77,39.84,33.40,37.30,36.33,39.84,34.38,36.33,34.57,34.96,39.84,35.16,32.42,38.28,35.74,33.01,34.57,33.98,38.67,40.82,33.20,39.45,40.04,34.96,37.70,32.03,36.13,35.35,34.77,34.18,36.33,35.35,34.38,31.25,31.84,37.11,37.30,34.38,33.20,37.50,33.98,34.77,33.40,34.57,33.79,30.86,38.09,33.20,37.11,41.02,35.35,37.30,37.89,41.02,37.50,31.05,36.72,35.55,37.30,39.26,38.87,34.77,33.59,33.40,34.77,37.50,38.09,39.45,41.60,32.42,35.74,34.96,36.52,38.09,37.11,36.33,38.09,34.77,37.70,37.50,34.57,34.96,34.77
41.21,36.13,35.35,34.38,38.67,38.87,36.13,33.20,32.81,36.33,36.13,100.00,34.77,34.77,30.27,36.91,33.59,33.20,37.89,36.91,37.11,35.35,38.87,39.26,34.77,35.55,37.89,37.70,37.50,33.79,38.48,33.40,33.98,39.26,37.11,37.89,34.57,40.82,35.35,36.52,36.33,35.35,36.91,32.81,37.89,39.65,36.13,33.01,35.16,38.67,35.74,37.11,36.52,39.65,35.74,40.62,34.96,33.98,38.09,38.87,31.64,39.06,33.01,35.94,36.13,34.96,36.91,36.72,39.84,39.84,36.72,35.74,38.28,36.72,37.30,37.11,33.59,37.89,33.40,36.52,38.87,37.89,34.38,35.94,42.97,33.40,34.96,37.11,32.42,36.13,33.59,38.09,33.98,37.30,36.13,35.74,36.72,39.84,39.06,40.04,36.33,33.79,36.72,38.87,36.33,35.94,34.38,34.96,32.81,35.94,37.30,34.18,39.84,38.09,33.98,36.91,37.70,33.40,38.87,37.30,34.38,36.91,39.06,34.38,37.50,34.38,36.52,36.13
41.80,40.04,38.87,39.84,42.58,43.55,39.45,35.55,36.72,38.28,36.52,34.77,100.00,41.99,38.87,43.36,34.38,36.52,33.98,39.65,40.82,39.65,42.19,41.21,39.84,35.35,38.28,38.48,43.75,40.04,37.70,36.13,39.26,43.36,40.04,44.14,37.89,42.77,39.26,35.94,41.21,37.89,36.52,35.74,43.16,37.11,39.65,34.18,37.11,38.87,41.41,37.50,44.14,37.89,38.48,41.41,36.52,37.89,37.30,38.67,37.11,38.09,36.72,42.97,40.43,38.67,43.75,40.23,41.02,45.51,41.80,40.23,37.11,39.84,40.62,38.09,38.48,43.36,35.16,38.87,39.26,38.87,37.70,39.65,43.36,33.20,37.70,41.80,36.72,38.48,34.96,39.06,36.13,37.89,37.50,37.50,38.09,40.62,41.99,40.23,37.30,40.62,39.06,38.28,42.97,39.26,38.48,42.19,37.70,38.87,41.60,40.04,37.89,38.67,37.89,37.70,39.06,40.04,40.04,42.19,37.30,42.77,41.21,38.09,38.09,36.33,35.16,37.50
41.80,43.75,38.09,33.59,41.02,41.02,42.97,36.13,38.67,37.89,37.89,34.77,41.99,100.00,38.09,42.19,36.72,38.48,37.11,41.80,40.82,41.60,41.21,41.60,43.36,38.48,39.45,41.41,42.97,41.41,40.82,38.87,38.48,41.21,38.48,42.97,39.84,41.41,37.50,36.13,35.16,42.58,40.04,41.02,43.95,41.21,41.60,36.72,37.70,40.43,40.82,39.26,43.95,41.41,45.90,44.14,37.50,37.50,41.02,41.60,40.23,43.36,37.70,38.87,43.55,36.91,43.36,40.04,41.99,46.09,42.38,39.45,42.19,40.43,41.60,40.04,38.87,42.77,38.09,40.23,43.36,42.97,37.89,38.48,44.92,39.84,39.45,39.65,37.70,39.06,34.77,39.65,37.11,41.60,38.67,41.21,38.28,44.34,41.21,40.04,41.99,37.30,39.65,42.38,43.95,42.38,39.65,40.04,39.65,37.30,46.09,40.62,42.58,41.60,38.28,36.52,40.43,42.77,41.60,41.99,38.28,41.41,41.02,44.34,43.36,33.79,39.84,40.82
39.45,38.67,38.09,36.91,38.67,37.70,35.94,32.62,34.96,36.91,33.01,30.27,38.87,38.09,100.00,40.04,33.01,35.55,34.18,35.94,33.98,37.70,35.74,41.60,38.67,33.20,36.13,36.72,36.72,37.30,33.59,39.26,38.87,36.33,37.50,37.50,39.84,37.70,38.09,32.23,37.30,35.94,36.91,40.43,44.92,38.28,36.91,35.16,34.57,38.28,36.72,35.74,36.91,37.11,37.89,35.94,34.57,38.48,37.30,34.96,36.52,32.03,33.20,42.97,38.09,33.40,39.26,34.38,38.28,37.70,34.18,37.11,35.55,38.28,39.06,35.35,31.05,41.60,35.94,35.55,36.72,38.09,39.84,33.59,39.45,33.59,35.55,32.23,36.13,37.50,34.38,37.89,32.03,37.11,35.35,37.70,35.55,38.87,39.26,37.50,36.13,37.70,35.55,37.50,39.26,39.26,33.20,38.67,37.70,36.33,39.84,35.35,35.74,42.19,34.96,38.67,33.79,35.55,37.30,37.11,41.60,38.09,37.30,36.72,42.38,33.59,33.59,36.72
45.31,41.99,40.04,35.94,39.65,41.99,40.82,37.70,38.09,39.26,34.96,36.91,43.36,42.19,40.04,100.00,38.87,38.48,39.26,41.21,39.65,41.80,39.65,43.16,39.84,37.70,39.06,39.06,36.91,40.04,39.06,38.48,35.94,41.99,41.60,43.95,41.41,42.58,41.21,37.50,37.70,39.45,41.60,38.67,45.31,42.19,39.84,38.67,39.45,43.16,41.21,41.02,42.19,38.67,42.19,38.67,38.28,35.35,39.06,38.09,35.55,38.48,38.87,38.67,40.82,37.50,44.53,42.19,40.82,44.34,40.23,40.82,37.50,38.28,44.53,41.41,37.11,45.31,35.74,38.48,37.70,40.23,37.30,38.67,43.75,39.45,36.91,37.50,39.84,39.26,33.59,40.04,35.55,38.48,39.06,41.21,38.67,42.19,44.92,40.04,36.33,41.80,40.04,38.28,42.77,39.06,39.65,39.65,39.84,37.70,43.36,41.80,39.65,41.21,37.50,38.67,39.45,38.48,41.41,45.12,40.82,41.60,39.45,41.21,40.82,37.50,34.77,40.23
37.89,40.43,35.94,33.20,34.57,40.04,38.28,34.38,36.33,35.35,35.35,33.59,34.38,36.72,33.01,38.87,100.00,33.59,37.89,41.21,35.55,35.74,38.48,36.13,37.30,37.50,36.52,41.02,33.79,33.98,39.65,33.59,36.13,33.20,36.33,36.33,37.70,39.84,37.11,32.03,36.52,35.16,37.30,33.20,38.67,33.40,36.13,35.35,39.26,37.70,37.89,32.62,40.62,37.89,41.02,39.26,33.40,31.45,37.30,36.72,36.72,34.57,33.59,35.16,39.65,35.55,40.82,36.72,37.11,39.06,37.89,34.96,36.33,34.38,35.55,36.91,35.74,33.20,32.81,36.33,38.28,32.23,33.79,33.20,38.28,31.25,38.28,33.59,35.74,36.52,31.84,34.77,34.96,39.06,33.40,34.57,35.35,34.96,37.50,39.65,33.40,32.81,34.96,38.48,35.35,37.50,35.94,36.72,34.77,35.74,36.52,39.65,35.16,38.09,33.40,32.81,33.98,31.84,36.91,39.06,35.35,34.38,35.55,37.11,35.35,34.96,35.35,36.13
38.09,36.13,35.74,33.20,37.50,38.67,32.62,36.72,36.72,35.94,31.05,33.20,36.52,38.48,35.55,38.48,33.59,100.00,35.55,38.28,33.59,38.48,36.52,37.11,35.94,33.40,31.64,36.72,35.16,38.09,35.74,37.11,33.79,38.28,38.09,38.09,37.89,37.11,35.16,34.96,36.72,37.30,37.11,35.94,36.33,37.50,38.48,35.94,35.16,41.60,35.55,35.16,35.94,37.30,38.09,37.11,35.55,32.42,36.91,37.70,35.16,35.55,34.18,41.21,36.13,32.81,40.82,33.98,34.96,35.94,34.77,37.50,35.55,36.52,36.13,33.59,37.89,37.50,33.40,36.13,40.04,35.55,34.96,38.28,41.21,33.20,34.18,36.72,37.89,33.98,31.45,34.77,33.79,36.13,36.91,34.77,37.50,40.23,41.21,33.79,36.33,34.77,35.94,38.09,40.04,37.89,35.16,33.59,36.13,31.45,37.11,39.45,38.67,39.26,30.66,33.98,36.33,36.72,35.74,39.26,38.48,37.11,37.50,34.57,36.72,30.86,33.98,37.30
38.09,37.30,37.30,35.74,39.45,39.65,38.67,33.01,36.72,36.91,34.38,37.89,33.98,37.11,34.18,39.26,37.89,35.55,100.00,34.77,39.06,39.45,39.65,37.89,36.91,37.11,38.67,35.94,37.50,33.79,37.50,36.72,37.89,40.62,38.48,42.19,39.84,40.23,37.89,32.62,39.26,34.77,36.52,36.13,38.67,40.62,36.91,36.72,35.35,38.67,34.57,37.70,39.45,37.89,36.72,40.82,32.42,33.79,32.81,37.70,35.74,34.77,34.96,36.13,41.21,34.96,41.80,38.28,39.06,41.60,37.30,38.87,36.91,34.18,38.48,38.09,35.74,39.84,33.98,38.48,35.55,35.74,38.28,36.13,41.41,33.59,37.70,38.48,39.06,39.06,35.94,39.06,33.98,38.28,35.55,37.30,34.77,38.87,40.43,38.09,34.18,33.79,35.94,40.62,38.48,39.65,38.48,37.30,35.16,36.72,38.67,39.84,36.72,36.91,34.18,34.57,35.94,34.18,39.06,37.50,38.09,39.65,40.04,39.65,38.28,34.38,35.35,34.96
42.97,39.45,36.72,37.70,40.43,41.80,39.84,37.50,36.13,37.11,36.91,36.91,39.65,41.80,35.94,41.21,41.21,38.28,34.77,100.00,38.28,39.26,42.97,44.73,39.65,33.79,38.48,40.82,42.77,41.80,40.82,34.96,39.45,39.26,39.26,41.41,36.13,41.60,36.91,40.43,40.04,37.30,40.82,37.50,42.58,43.36,43.16,36.72,39.06,39.84,38.67,37.50,42.58,42.77,38.09,44.92,37.30,36.33,38.48,39.65,35.55,39.26,38.28,40.62,40.82,37.11,41.80,36.13,42.58,42.58,38.09,39.06,41.21,38.09,41.41,44.34,36.91,41.21,37.50,40.23,40.23,42.19,38.48,38.67,47.66,39.06,41.02,35.94,36.52,35.16,33.20,37.30,37.70,39.84,38.09,39.65,41.21,42.58,45.70,41.02,40.82,38.48,36.52,40.82,40.82,41.60,38.67,41.02,38.48,37.11,45.12,41.99,40.43,42.58,36.91,36.91,38.09,40.04,41.99,40.82,38.48,37.70,40.43,40.43,39.65,34.18,35.55,41.21
39.45,39.45,38.09,35.74,40.23,36.91,37.50,35.55,36.33,36.91,36.91,37.11,40.82,40.82,33.98,39.65,35.55,33.59,39.06,38.28,100.00,39.65,41.41,40.23,41.21,38.48,36.72,39.45,38.09,41.41,41.02,37.89,37.70,40.62,34.38,38.28,32.42,37.89,36.72,36.13,38.87,35.16,37.70,36.91,41.80,40.04,39.06,34.57,33.98,39.45,41.02,38.48,41.21,41.02,38.09,42.38,38.09,33.79,36.91,36.13,34.96,40.04,35.55,40.82,39.45,36.52,44.34,38.09,38.67,44.92,39.06,40.23,38.67,39.06,41.41,42.19,35.55,41.02,33.59,37.70,36.52,38.28,38.28,38.87,41.21,35.55,39.45,36.91,38.48,37.50,36.52,38.28,34.77,36.52,39.45,35.35,41.80,40.23,42.58,39.65,37.50,37.11,38.67,42.77,37.50,38.67,37.30,38.09,40.23,37.89,42.38,42.19,40.62,41.41,33.98,38.09,39.45,39.84,40.43,40.23,38.48,38.87,39.26,38.48,39.45,38.67,35.16,42.58
44.14,40.23,36.33,37.11,41.41,37.50,40.04,38.09,34.57,36.13,32.62,35.35,39.65,41.60,37.70,41.80,35.74,38.48,39.45,39.26,39.65,100.00,39.84,42.97,40.04,39.84,41.99,41.02,39.65,38.09,37.50,37.50,38.28,36.33,36.52,37.89,38.09,39.84,40.04,37.70,40.62,38.67,38.48,37.30,44.14,42.77,41.80,36.13,33.98,41.80,38.09,35.35,43.16,38.48,40.23,43.55,34.77,38.28,38.87,37.89,38.28,39.84,35.16,38.87,39.84,36.33,45.51,40.62,40.04,43.55,38.48,38.67,37.30,34.77,39.45,41.02,33.79,45.12,37.50,36.91,39.84,39.84,40.04,36.91,40.82,35.55,38.87,35.94,38.48,40.82,35.55,36.91,35.55,38.09,38.28,37.50,39.26,39.06,41.99,36.13,36.13,39.65,43.16,42.58,42.38,39.45,34.77,39.06,35.16,39.26,41.80,41.80,40.23,39.84,35.35,39.45,39.06,36.72,43.95,38.67,40.04,37.30,39.45,37.70,41.21,35.16,38.67,39.26
42.38,40.23,38.67,38.87,42.97,43.75,42.19,39.65,38.87,39.26,35.55,38.87,42.19,41.21,35.74,39.65,38.48,36.52,39.65,42.97,41.41,39.84,100.00,42.38,40.62,39.06,37.70,42.97,44.14,41.21,41.02,39.45,39.65,40.62,42.19,41.80,38.87,44.92,40.62,39.65,39.45,39.26,40.04,36.33,44.53,37.89,41.41,40.23,37.89,45.51,41.60,41.60,42.38,39.06,42.38,42.19,39.84,43.16,42.19,41.99,40.23,39.26,39.65,41.60,43.75,40.62,43.16,38.48,42.58,44.34,41.80,41.41,38.87,42.38,40.43,39.06,40.43,41.21,35.35,34.38,42.58,42.58,39.26,40.04,46.48,37.89,43.36,39.26,39.06,39.65,37.50,40.43,39.06,40.23,38.09,40.04,42.19,41.99,44.53,42.77,42.58,38.87,37.70,41.60,45.31,44.53,36.91,40.43,34.38,39.45,47.85,44.14,40.62,41.80,37.30,35.35,41.80,41.21,44.53,44.53,39.84,42.58,44.14,43.36,43.16,40.04,37.70,39.26
43.95,41.02,39.84,38.87,47.85,41.99,42.77,34.38,39.65,38.87,37.30,39.26,41.21,41.60,41.60,43.16,36.13,37.11,37.89,44.73,40.23,42.97,42.38,100.00,40.43,40.23,38.67,40.04,43.95,37.50,38.48,40.43,42.38,40.23,39.06,42.77,40.23,38.09,41.21,38.09,41.21,35.74,40.04,39.65,42.19,42.77,42.38,38.67,41.02,43.75,39.45,37.70,41.21,42.38,42.97,46.09,39.06,41.80,41.99,37.50,36.33,42.58,38.87,41.80,41.80,39.06,42.38,40.62,42.77,43.95,40.43,41.80,37.50,40.04,41.41,41.02,37.50,42.97,36.91,38.67,42.58,38.28,36.72,42.38,42.77,36.52,37.30,40.04,37.30,36.52,37.89,41.99,35.94,39.45,39.06,39.06,40.43,43.55,45.31,39.84,39.26,38.48,37.70,45.51,44.73,41.02,39.26,39.65,39.06,39.65,44.34,43.55,39.45,44.73,35.55,36.33,41.60,36.72,42.77,41.60,38.28,40.82,43.16,38.28,41.60,36.13,39.26,40.23
41.99,41.99,39.84,36.91,42.38,41.21,42.19,40.43,39.84,37.70,38.28,34.77,39.84,43.36,38.67,39.84,37.30,35.94,36.91,39.65,41.21,40.04,40.62,40.43,100.00,36.13,37.89,39.65,43.95,39.26,38.09,36.91,38.48,39.84,39.26,39.84,39.65,41.41,37.89,38.28,41.99,33.98,40.43,37.70,46.09,40.43,39.45,42.38,40.82,36.52,40.04,35.16,43.36,40.23,41.41,40.23,38.09,40.43,43.75,39.65,41.60,37.50,36.91,43.36,43.75,36.91,46.09,42.58,39.45,42.97,41.80,40.82,40.62,36.13,42.77,42.38,41.02,41.41,37.70,36.33,41.60,40.82,38.87,38.28,46.09,37.50,39.06,38.48,36.52,39.06,36.13,42.58,38.28,38.09,41.02,40.04,40.82,41.60,42.38,40.04,40.62,39.45,39.26,39.84,41.02,41.02,41.02,40.43,37.30,37.11,43.55,43.36,41.99,41.02,38.28,40.04,36.13,41.02,37.89,38.09,41.41,41.80,40.82,38.67,42.38,36.91,33.79,41.02
39.45,37.89,36.72,33.59,37.50,38.28,37.11,36.33,36.33,35.55,34.57,35.55,35.35,38.48,33.20,37.70,37.50,33.40,37.11,33.79,38.48,39.84,39.06,40.23,36.13,100.00,33.20,37.89,36.13,35.16,39.65,36.33,36.72,39.06,36.91,39.45,36.72,37.50,40.04,32.62,33.98,35.74,38.09,32.81,38.09,40.04,39.45,32.42,35.16,38.28,37.11,36.13,35.35,35.16,38.09,40.62,34.96,34.77,36.72,37.11,36.13,36.72,32.62,37.70,38.09,35.94,40.04,35.55,36.72,39.26,38.28,36.33,35.94,34.96,34.77,36.13,35.55,39.84,34.18,34.77,37.70,37.11,31.84,40.62,36.52,31.84,36.72,33.98,32.62,33.98,34.57,36.52,34.77,35.16,34.57,36.13,34.57,36.13,38.09,35.74,34.18,36.13,37.30,35.94,35.16,39.06,35.35,41.21,35.94,36.13,40.82,40.62,36.52,38.87,36.33,33.59,35.94,37.30,42.19,38.28,38.09,35.55,35.35,37.50,39.06,33.01,35.16,30.86
39.84,36.72,37.70,36.52,42.38,39.45,40.82,35.35,36.13,37.70,33.40,37.89,38.28,39.45,36.13,39.06,36.52,31.64,38.67,38.48,36.72,41.99,37.70,38.67,37.89,33.20,100.00,37.89,39.65,36.72,35.74,35.94,36.13,33.79,36.13,38.09,39.45,41.60,38.87,35.94,36.52,35.94,36.52,33.98,36.91,38.09,33.01,33.79,33.79,37.11,33.79,35.94,40.43,41.21,38.09,43.75,36.91,34.77,36.72,32.23,33.98,37.30,34.18,38.48,40.04,36.72,41.80,40.43,38.87,39.06,37.70,34.38,37.89,34.18,41.02,37.70,37.70,38.09,36.33,34.18,37.50,36.33,33.98,34.57,40.43,37.30,34.38,31.64,35.55,39.06,38.28,37.11,33.01,37.30,33.79,40.04,39.26,41.21,43.95,38.28,38.09,40.82,35.74,43.55,36.72,37.89,36.33,37.11,36.13,36.72,38.87,42.58,36.13,35.55,32.62,34.18,35.16,35.35,37.30,41.02,37.11,41.60,35.94,37.11,37.50,32.62,38.48,39.65
39.65,40.82,38.48,36.72,40.04,42.19,40.43,38.48,39.06,38.09,36.72,37.70,38.48,41.41,36.72,39.06,41.02,36.72,35.94,40.82,39.45,41.02,42.97,40.04,39.65,37.89,37.89,100.00,40.43,43.16,39.45,38.09,43.36,38.28,38.48,40.23,37.70,43.55,37.89,41.80,40.43,42.97,39.65,37.89,44.14,41.02,39.45,38.87,41.60,41.41,42.38,40.23,43.16,41.99,43.55,40.04,38.67,39.45,41.02,39.06,39.06,39.65,40.43,39.84,41.41,37.30,44.14,39.65,43.16,48.24,40.82,42.77,40.62,37.70,41.99,40.23,38.09,39.45,36.72,37.89,44.14,42.97,36.91,39.65,41.80,40.43,40.04,40.23,39.45,35.16,36.91,41.21,39.06,41.21,37.11,40.23,39.06,41.99,41.99,36.33,41.02,36.52,37.70,38.67,38.87,41.02,35.74,38.48,39.06,37.50,46.09,45.51,42.77,41.21,37.70,38.28,40.04,40.43,46.48,39.26,39.65,40.04,43.36,39.06,41.80,37.11,36.91,37.50
42.97,40.43,41.99,40.23,42.19,39.45,39.45,41.02,39.06,34.18,38.28,37.50,43.75,42.97,36.72,36.91,33.79,35.16,37.50,42.77,38.09,39.65,44.14,43.95,43.95,36.13,39.65,40.43,100.00,42.19,40.43,36.52,42.19,39.45,39.06,37.89,39.65,42.77,40.04,36.91,39.06,40.82,40.23,37.89,40.04,43.75,41.41,36.72,40.23,36.33,40.43,37.11,42.38,41.41,38.67,44.73,36.72,40.04,39.84,38.09,36.52,38.09,36.33,42.58,45.12,38.28,42.38,39.06,43.16,42.19,41.60,37.89,41.41,37.70,41.99,40.04,34.57,40.23,37.50,37.50,41.02,42.97,40.82,43.95,41.80,38.67,39.45,38.87,43.16,40.62,39.45,39.26,36.72,37.70,38.87,41.02,38.67,43.36,44.73,43.16,41.60,38.87,38.28,40.62,41.80,42.38,39.06,39.06,38.67,41.60,45.51,43.95,41.02,42.97,36.52,34.77,39.45,41.41,45.31,40.62,37.70,39.26,40.04,42.19,39.26,37.30,36.72,41.60
42.19,40.43,39.45,36.13,42.58,41.99,41.99,39.45,38.48,34.57,34.18,33.79,40.04,41.41,37.30,40.04,33.98,38.09,33.79,41.80,41.41,38.09,41.21,37.50,39.26,35.16,36.72,43.16,42.19,100.00,39.26,35.74,42.38,40.23,36.33,41.41,39.65,41.80,40.82,40.62,38.48,39.45,40.04,37.50,41.60,41.80,42.58,36.91,37.30,45.12,38.48,36.72,42.58,39.84,41.99,41.21,40.43,36.13,38.28,40.82,37.89,40.04,37.11,45.31,40.23,36.72,42.58,36.52,41.99,40.62,34.96,38.67,40.23,38.48,40.62,39.45,38.09,42.19,38.67,36.52,36.91,40.43,38.87,41.60,42.97,35.94,37.50,39.45,36.72,37.50,37.89,40.43,36.33,38.87,38.48,37.70,38.87,40.43,42.38,43.55,41.02,38.48,37.50,35.55,40.04,39.65,36.91,40.04,39.06,36.72,44.14,45.90,41.41,41.80,32.42,36.52,40.82,40.43,41.41,42.97,39.06,38.28,44.73,38.09,38.67,41.41,35.55,39.84
42.38,41.60,38.87,34.57,40.82,39.84,41.02,36.13,36.52,39.06,35.94,38.48,37.70,40.82,33.59,39.06,39.65,35.74,37.50,40.82,41.02,37.50,41.02,38.48,38.09,39.65,35.74,39.45,40.43,39.26,100.00,34.96,38.48,39.06,42.19,41.02,40.23,40.82,41.02,35.55,39.45,37.11,38.09,36.72,41.41,40.43,40.82,40.04,36.13,41.99,36.52,41.21,41.80,42.19,38.09,41.41,38.09,36.91,38.09,39.26,37.50,36.13,38.87,39.84,39.26,39.45,46.68,35.74,40.82,43.75,40.43,38.67,39.84,42.77,41.99,41.21,39.06,43.16,34.38,38.67,37.30,38.67,35.94,37.11,43.16,33.98,39.06,36.91,39.06,39.65,35.16,38.28,35.94,43.75,38.28,43.16,40.82,40.23,41.41,38.67,42.58,38.48,36.33,41.80,38.28,38.48,38.09,37.70,38.87,37.11,42.97,40.23,41.41,40.04,39.84,33.40,35.74,35.94,40.62,42.97,39.84,38.48,39.06,41.60,38.67,35.35,35.35,39.45
41.02,38.09,34.96,34.77,36.13,39.06,37.11,35.74,40.82,38.48,31.05,33.40,36.13,38.87,39.26,38.48,33.59,37.11,36.72,34.96,37.89,37.50,39.45,40.43,36.91,36.33,35.94,38.09,36.52,35.74,34.96,100.00,36.33,37.11,35.94,37.70,38.87,37.11,35.35,33.20,40.23,35.16,41.41,33.79,36.72,39.45,39.26,35.74,35.16,40.04,37.50,39.65,40.62,38.48,37.89,41.41,37.11,41.41,37.70,38.28,36.33,34.96,38.28,38.09,38.48,41.02,38.48,37.30,40.82,42.58,37.11,34.96,35.16,38.09,37.50,38.67,33.98,39.65,35.55,37.70,38.09,33.79,35.94,39.06,37.89,37.50,35.74,34.77,37.30,38.87,33.59,36.91,37.11,39.26,34.18,39.06,37.50,38.87,41.41,36.91,38.87,36.52,37.89,40.04,42.19,40.62,34.77,37.89,36.13,33.98,41.99,41.21,40.62,36.33,33.59,36.13,38.48,37.89,38.09,36.72,38.87,37.11,38.87,36.72,40.43,31.05,35.74,38.09
42.97,39.26,37.89,38.09,41.02,41.21,40.82,35.55,38.67,36.13,36.33,33.98,39.26,38.48,38.87,35.94,36.13,33.79,37.89,39.45,37.70,38.28,39.65,42.38,38.48,36.72,36.13,43.36,42.19,42.38,38.48,36.33,100.00,40.23,39.84,40.62,37.70,38.67,39.06,35.74,40.04,38.67,40.23,37.89,42.58,41.21,36.52,35.55,36.72,39.65,40.23,36.91,40.82,38.87,40.04,39.26,38.48,37.70,42.97,37.11,35.74,34.57,34.77,42.77,40.82,37.50,42.58,41.41,45.12,38.48,39.84,41.80,40.23,33.98,39.45,35.74,36.52,42.97,34.38,37.70,41.80,38.48,37.50,39.45,39.06,33.98,37.70,39.45,39.06,36.91,37.70,41.21,37.50,41.60,35.74,38.48,39.65,41.99,38.48,40.23,39.26,36.91,36.52,40.43,39.65,40.62,37.50,37.11,39.65,33.40,42.97,40.62,37.70,39.06,34.96,35.16,38.87,40.62,43.55,38.67,36.72,40.23,43.55,38.67,38.87,36.33,36.91,37.30
